実施 する 	 じっし する
転落 し た 	 てんらく し た
しかっ た です 	 しかっ た です
行き来 できる 	 ゆきき できる
誕生 	 たんじょう
結び 	 むすび
費やし て 	 ついやし て
発見 でき て 	 はっけん でき て
移転 する 	 いてん する
回っ て 	 かいっ て
呼ん 	 よん
仰げ 	 あおげ
尊 し 	 とうと し
贈る 	 おくる
歌わ れ て 	 うたわ れ て
失格 	 しっかく
晴れる 	 はれる
安心 でき まし た 	 あんしん でき まし た
信奉 する 	 しんぽう する
降臨 し た 	 こうりん し た
滅ん だ 	 ほろん だ
憐れむ 	 あわれむ
記し て 	 きし て
取り戻し た 	 とりもどし た
動き ます 	 うごき ます
かかっ た 	 かかっ た
強調 し た 	 きょうちょう し た
投げ 出し て 	 なげ だし て
再会 し 	 さいかい し
告白 する 	 こくはく する
詠ま れ た 	 よま れ た
共生 する 	 きょうせい する
違っ て 	 ちがっ て
喋ら ない 	 しゃべら ない
知ら れる 	 しら れる
入る ように なっ て 	 はいる ように なっ て
研修 する 	 けんしゅう する
発表 さ れ まし た 	 はっぴょう さ れ まし た
限り 	 かぎり
生き た 	 いき た
頂き まし た 	 いただき まし た
昇進 し 	 しょうしん し
評価 さ れ て 	 ひょうか さ れ て
つき そう です 	 つき そう です
喰らっ た 	 くらっ た
バウンド する 	 ばうんど する
つん だ 	 つん だ
住む ように なる 	 すむ ように なる
表記 する 	 ひょうき する
捕まえる 	 つかまえる
つながる 	 つながる
信じ られ て 	 しんじ られ て
回ろ う 	 かいろ う
操作 でき 	 そうさ でき
動く 	 うごく
占め て 	 しめ て
認め た 	 みとめ た
潰さ れ て 	 つぶさ れ て
飛び込ん 	 とびこん
取り 	 とり
入っ 	 いっ
引っ張り 込も う 	 ひっぱり こも う
口答え し 	 くちごたえ し
捺染 し て 	 なっせん し て
捺染 し た 	 なっせん し た
発見 し た 	 はっけん し た
倒さ れ た 	 たおさ れ た
達成 し 	 たっせい し
継い だ 	 つい だ
結婚 し た 	 けっこん し た
リニューアル し た らしく 	 りにゅーある し た らしく
マッチ し て 	 まっち し て
引き まし た 	 ひき まし た
没し た 	 ぼっし た
公表 し て 	 こうひょう し て
模倣 さ れる 	 もほう さ れる
頂 け たら 	 いただ け たら
試聴 	 しちょう
いただく 	 いただく
不足 し て 	 ふそく し て
発揮 でき ない 	 はっき でき ない
出没 し て 	 しゅつぼつ し て
公開 さ れ て 	 こうかい さ れ て
確認 でき なかっ た 	 かくにん でき なかっ た
駐屯 する 	 ちゅうとん する
刊行 し た 	 かんこう し た
授ける 	 さずける
生え 	 はえ
押し上げ た 	 おしあげ た
充電 する 	 じゅうでん する
移築 し た 	 いちく し た
現存 する 	 げんそん する
想定 さ れ て 	 そうてい さ れ て
引き離さ れ た 	 ひきはなさ れ た
語り継ぎ たい 	 かたりつぎ たい
アクセス し やすい よう 	 あくせす し やすい よう
指示 	 しじ
掃除 する 	 そうじ する
締め て 	 しめ て
定め られ た 	 さだめ られ た
出し 	 だし
感じる 	 かんじる
動き出し た 	 うごきだし た
生まれる 	 うまれる
設定 さ れ た 	 せってい さ れ た
理解 すれ 	 りかい すれ
広まっ た 	 ひろまっ た
会い 	 あい
交換 し た 	 こうかん し た
亡くなっ た 	 なくなっ た
帰化 し て 	 きか し て
積ん 	 つん
恵まれ て 	 めぐまれ て
置か れ た 	 おか れ た
言わ れ まし た 	 いわ れ まし た
選別 し 	 せんべつ し
繰り返し ます 	 くりかえし ます
起こる 	 おこる
悪化 し て 	 あっか し て
拒否 する 	 きょひ する
ビックリ し まし た 	 びっくり し まし た
賞賛 さ れ 	 しょうさん さ れ
実在 し ない 	 じつざい し ない
気付か ず 	 きづか ず
描写 し て 	 びょうしゃ し て
取り出す 	 とりだす
食える 	 くえる
停止 し た 	 ていし し た
急発進 し 	 きゅうはっしん し
衝突 する 	 しょうとつ する
帰属 し ます 	 きぞく し ます
確定 	 かくてい
後悔 し ます 	 こうかい し ます
制御 し き れ て 	 せいぎょ し き れ て
起こし やすい 	 おこし やすい
ぶつかり 	 ぶつかり
判断 し 	 はんだん し
満たす 	 みたす
告発 する 	 こくはつ する
110番通報 し た 	 １１０ばんつうほう し た
浸水 し 	 しんすい し
傾斜 し た 	 けいしゃ し た
採用 し た 	 さいよう し た
当てはまる 	 あてはまる
評価 し た 	 ひょうか し た
見逃し た 	 みのがし た
検索 すれ 	 けんさく すれ
見 れ ます 	 み れ ます
発行 する 	 はっこう する
願いし まし た 	 ねがいし まし た
めぐり 	 めぐり
対立 し て 	 たいりつ し て
緊張 せ ず 	 きんちょう せ ず
伝え られ まし た 	 つたえ られ まし た
直結 する 	 ちょっけつ する
展開 	 てんかい
チェック す べく 	 ちぇっく す べく
寄っ て 	 よっ て
受け入れ て 	 うけいれ て
散乱 し た 	 さんらん し た
片づけ 	 かたづけ
参加 し なかっ た 	 さんか し なかっ た
操作 できる 	 そうさ できる
たどりつ ける ように 	 たどりつ ける ように
重ね まし た 	 かさね まし た
滅亡 し た 	 めつぼう し た
謝罪 し ます 	 しゃざい し ます
装備 さ れ て 	 そうび さ れ て
残っ た 	 のこっ た
論じる ように なっ た 	 ろんじる ように なっ た
侵入 し た 	 しんにゅう し た
襲わ れ た 	 おそわ れ た
行き やすい 	 いき やすい
買い付ける 	 かいつける
ちなん だ 	 ちなん だ
遭っ た 	 あっ た
み られ て 	 み られ て
挑戦 する 	 ちょうせん する
いか ず 	 いか ず
感じ て 	 かんじ て
テスト さ れ て 	 てすと さ れ て
実行 する 	 じっこう する
はっきりさ せ たく て 	 はっきりさ せ たく て
リフレッシュ する 	 りふれっしゅ する
促す 	 うながす
見 られ た 	 み られ た
破却 さ れ た 	 はきゃく さ れ た
残る 	 のこる
実施 せ ず 	 じっし せ ず
支給 し 	 しきゅう し
勤め た 	 つとめ た
出場 	 しゅつじょう
閉じ た 	 とじ た
すっとばし て 	 すっとばし て
リンク し て 	 りんく し て
デビュー し 	 でびゅー し
合う 	 あう
設け 	 もうけ
打っ て 	 うっ て
確認 する 	 かくにん する
デザイン さ れ た 	 でざいん さ れ た
上回っ て 	 うわまわっ て
評価 さ れ 	 ひょうか さ れ
出席 し た 	 しゅっせき し た
病み 	 やみ
つき 	 つき
引い て 	 ひい て
施す 	 ほどこす
分類 さ れ て 	 ぶんるい さ れ て
支持 し た 	 しじ し た
膨らん 	 ふくらん
加わる 	 くわわる
整備 さ れ て 	 せいび さ れ て
集める 	 あつめる
育ち 	 そだち
剥がさ れ 	 はがさ れ
使わ れ 	 つかわ れ
溶かさ れ て 	 とかさ れ て
変え られ 	 かえ られ
掬う 	 すくう
使わ れ た 	 つかわ れ た
任せし まし た 	 まかせし まし た
考え ない 	 かんがえ ない
発揮 する 	 はっき する
選べ 	 えらべ
興奮 する 	 こうふん する
思っ ちゃう 	 おもっ ちゃう
訪れ て 	 おとずれ て
再現 し た 	 さいげん し た
言及 し て 	 げんきゅう し て
介入 す べし 	 かいにゅう す べし
思わ ない 	 おもわ ない
使い分ける 	 つかいわける
比較 する 	 ひかく する
より 	 より
シフト し て 	 しふと し て
待つ 	 まつ
受け られる 	 うけ られる
取り まし た 	 とり まし た
給油 でき ない 	 きゅうゆ でき ない
増え 	 ふえ
陥り まし た 	 おちいり まし た
構わ ず 	 かまわ ず
のろけ 	 のろけ
さ せ ませ ん 	 さ せ ませ ん
提案 し 	 ていあん し
賛同 	 さんどう
退役 し 	 たいえき し
保管 さ れる 	 ほかん さ れる
求め られ た 	 もとめ られ た
就任 さ せ 	 しゅうにん さ せ
提案 し た 	 ていあん し た
回航 さ れ 	 かいこう さ れ
到着 し た 	 とうちゃく し た
割い て 	 わりい て
検討 し ましょ う 	 けんとう し ましょ う
至っ た そうです 	 いたっ た そうです
支持 し て 	 しじ し て
関係 する 	 かんけい する
同期 さ せる 	 どうき さ せる
取り扱っ て 	 とりあつかっ て
配置 し 	 はいち し
開放 し た 	 かいほう し た
チャレンジ さ れる 	 ちゃれんじ さ れる
いらっしゃり 	 いらっしゃり
真似 て 	 まね て
増やそ う 	 ふやそ う
考え た 	 かんがえ た
参加 する 	 さんか する
利用 さ せ て 	 りよう さ せ て
得れ 	 えれ
求め まし た 	 もとめ まし た
掲載 する 	 けいさい する
決まっ て 	 きまっ て
断ら れ まし た 	 ことわら れ まし た
区分 さ れる 	 くぶん さ れる
立ち上げ た 	 たちあげ た
受ける ように なっ た 	 うける ように なっ た
築い た 	 きずい た
連れ て 	 つれ て
思える 	 おもえる
とっ て 	 とっ て
奪回 し 	 だっかい し
仕掛け て 	 しかけ て
混乱 さ せ 	 こんらん さ せ
包囲 する 	 ほうい する
認定 さ れ まし た 	 にんてい さ れ まし た
標榜 し て 	 ひょうぼう し て
取 らさ れる 	 と らさ れる
連絡 する 	 れんらく する
話し やすい 	 はなし やすい
持ち去ら れ た 	 もちさら れ た
み られ 	 み られ
返却 さ れ た 	 へんきゃく さ れ た
西進 し た 	 せいしん し た
明かす 	 あかす
見 かける 	 み かける
襲撃 し て 	 しゅうげき し て
奪っ 	 うばっ
殺し て 	 ころし て
数え られ て 	 かぞえ られ て
侵入 し て 	 しんにゅう し て
転 し て 	 ころ し て
向かっ た 	 むかっ た
驚く 	 おどろく
なる かもしれ ない 	 なる かもしれ ない
追い込む 	 おいこむ
連敗 し て 	 れんぱい し て
喫する 	 きっする
突入 	 とつにゅう
波及 し て 	 はきゅう し て
衰える 	 おとろえる
いい ます 	 いい ます
もたらし た 	 もたらし た
反映 さ れ た 	 はんえい さ れ た
隠れ た 	 かくれ た
癒やし 	 いやし
エスカレート さ せ た 	 えすかれーと さ せ た
補強 し た 	 ほきょう し た
立ち上げ 	 たちあげ
被弾 し た 	 ひだん し た
張ら せ て 	 はら せ て
作 れる 	 つく れる
誤認 さ れる 	 ごにん さ れる
避ける 	 さける
改称 し た 	 かいしょう し た
連呼 し まし た 	 れんこ し まし た
かけ 過ぎ て 	 かけ すぎ て
思いあたる 	 おもいあたる
運ぶ 	 はこぶ
オススメ し ます 	 おすすめ し ます
承認 する 	 しょうにん する
取る 	 とる
あて られ た 	 あて られ た
舞う 	 まう
思 える ように なっ て 	 おも える ように なっ て
流出 する 	 りゅうしゅつ する
指摘 さ れ て 	 してき さ れ て
見 た 	 み た
志願 し 	 しがん し
独占 さ れ て 	 どくせん さ れ て
なり たいです 	 なり たいです
改善 し たい 	 かいぜん し たい
押す 	 おす
訪ね 	 たずね
墜落 し 	 おお し
観測 さ れ た 	 かんそく さ れ た
得 られ て 	 え られ て
ボーっと し て 	 ぼーっと し て
開催 さ れ 	 かいさい さ れ
数え 	 かぞえ
輩出 し て 	 はいしゅつ し て
推移 し た 	 すいい し た
近づく 	 ちかづく
強まっ た 	 つよまっ た
相次い だ 	 あいつい だ
達成 し た 	 たっせい し た
貫き 	 つらぬき
取り巻く 	 とりまく
振り回す 	 ふりまわす
従う 	 したがう
受け まし た 	 うけ まし た
仕事 し て 	 しごと し て
直し て 	 なおし て
揺れ た 	 ゆれ た
探り ます 	 さぐり ます
運転 し 始め て 	 うんてん し はじめ て
終了 する 	 しゅうりょう する
期待 さ れる 	 きたい さ れる
陥れる 	 おとしいれる
進学 する 	 しんがく する
追加 さ れる 	 ついか さ れる
つき 合っ て 	 つき あっ て
いる ようだ 	 いる ようだ
登場 し ない 	 とうじょう し ない
やめる べき 	 やめる べき
譲る 	 ゆずる
挿入 さ れ て 	 そうにゅう さ れ て
手に入れ て 	 てにいれ て
固め た 	 かため た
えい航 し 	 えいこう し
着け た 	 つけ た
変身 し て 	 へんしん し て
経過 	 けいか
盛り付け 	 もりつけ
行け て 	 いけ て
居座っ て 	 いすわっ て
賄う 	 まかなう
